config_name,lwe_dimension,glwe_dimension,polynomial_size,lwe_noise_tag,lwe_gaussian_std,lwe_tuniform_bound_log2,glwe_noise_tag,glwe_gaussian_std,glwe_tuniform_bound_log2,pbs_base_log,pbs_level,ks_base_log,ks_level,message_modulus,carry_modulus,max_noise_level,log2_p_fail,modulus_power_of_2_exponent,encryption_key_choice,ms_tag,ms_modulus_switch_zeros_count,ms_bound,ms_r_sigma_factor,ms_input_variance
SHORTINT_V1_0_PARAM_MESSAGE_1_CARRY_0_KS_PBS_GAUSSIAN_2M128,747,6,256,0,1.59446e-05,0,0,1.95244e-11,0,17,1,4,3,2,1,1,-128.384,64,Big,1,1436,2.30584e+18,13.1288,3.11256e-05
SHORTINT_V1_0_PARAM_MESSAGE_1_CARRY_1_COMPACT_PK_KS_PBS_GAUSSIAN_2M128,838,4,512,0,3.31699e-06,0,0,2.84527e-15,0,23,1,5,3,2,2,3,-128.979,64,Big,1,1444,1.15292e+18,13.16,5.866e-06
SHORTINT_V1_0_PARAM_MESSAGE_1_CARRY_1_COMPACT_PK_PBS_KS_GAUSSIAN_2M128,1024,4,512,0,1.33978e-07,0,0,2.84527e-15,0,23,1,6,3,2,2,3,-139.952,64,Small,1,1449,1.15292e+18,13.7228,3.58478e-07
SHORTINT_V1_0_PARAM_MESSAGE_1_CARRY_1_KS_PBS_GAUSSIAN_2M128,838,4,512,0,3.31699e-06,0,0,2.84527e-15,0,23,1,5,3,2,2,3,-128.979,64,Big,1,1444,1.15292e+18,13.16,5.866e-06
SHORTINT_V1_0_PARAM_MESSAGE_1_CARRY_1_PBS_KS_GAUSSIAN_2M128,914,4,512,0,8.93861e-07,0,0,2.84527e-15,0,23,1,5,3,2,2,3,-128.181,64,Small,1,1450,1.15292e+18,13.1181,4.50017e-06
SHORTINT_V1_0_PARAM_MESSAGE_1_CARRY_2_COMPACT_PK_KS_PBS_GAUSSIAN_2M128,885,2,1024,0,1.47424e-06,0,0,2.84527e-15,0,23,1,5,3,2,4,7,-128.316,64,Big,1,1447,5.76461e+17,13.1253,1.26294e-06
SHORTINT_V1_0_PARAM_MESSAGE_1_CARRY_2_KS_PBS_GAUSSIAN_2M128,885,2,1024,0,1.47424e-06,0,0,2.84527e-15,0,23,1,5,3,2,4,7,-128.316,64,Big,1,1447,5.76461e+17,13.1253,1.26294e-06
SHORTINT_V1_0_PARAM_MESSAGE_1_CARRY_3_COMPACT_PK_KS_PBS_GAUSSIAN_2M128,906,1,2048,0,1.02616e-06,0,0,2.84527e-15,0,23,1,3,6,2,8,15,-128.07,64,Big,1,1449,2.8823e+17,13.1123,2.92454e-07
SHORTINT_V1_0_PARAM_MESSAGE_1_CARRY_3_KS_PBS_GAUSSIAN_2M128,906,1,2048,0,1.02616e-06,0,0,2.84527e-15,0,23,1,3,6,2,8,15,-128.07,64,Big,1,1449,2.8823e+17,13.1123,2.92454e-07
SHORTINT_V1_0_PARAM_MESSAGE_1_CARRY_4_COMPACT_PK_KS_PBS_GAUSSIAN_2M128,930,1,4096,0,6.78236e-07,0,0,2.1684e-19,0,15,2,3,6,2,16,31,-128.387,64,Big,1,1450,1.44115e+17,13.129,6.47634e-08
SHORTINT_V1_0_PARAM_MESSAGE_1_CARRY_4_KS_PBS_GAUSSIAN_2M128,930,1,4096,0,6.78236e-07,0,0,2.1684e-19,0,15,2,3,6,2,16,31,-128.387,64,Big,1,1450,1.44115e+17,13.129,6.47634e-08
SHORTINT_V1_0_PARAM_MESSAGE_1_CARRY_5_COMPACT_PK_KS_PBS_GAUSSIAN_2M128,1012,1,8192,0,1.64797e-07,0,0,2.1684e-19,0,15,2,3,7,2,32,63,-128.161,64,Big,1,1456,7.20576e+16,13.1171,9.98708e-09
SHORTINT_V1_0_PARAM_MESSAGE_1_CARRY_5_KS_PBS_GAUSSIAN_2M128,1012,1,8192,0,1.64797e-07,0,0,2.1684e-19,0,15,2,3,7,2,32,63,-128.161,64,Big,1,1456,7.20576e+16,13.1171,9.98708e-09
SHORTINT_V1_0_PARAM_MESSAGE_1_CARRY_6_COMPACT_PK_KS_PBS_GAUSSIAN_2M128,1061,1,16384,0,7.07601e-08,0,0,2.1684e-19,0,11,3,2,11,2,64,127,-128.086,64,Big,1,1458,3.60288e+16,13.1132,1.55935e-09
SHORTINT_V1_0_PARAM_MESSAGE_1_CARRY_6_KS_PBS_GAUSSIAN_2M128,1061,1,16384,0,7.07601e-08,0,0,2.1684e-19,0,11,3,2,11,2,64,127,-128.086,64,Big,1,1458,3.60288e+16,13.1132,1.55935e-09
SHORTINT_V1_0_PARAM_MESSAGE_1_CARRY_7_COMPACT_PK_KS_PBS_GAUSSIAN_2M128,1104,1,65536,0,3.36966e-08,0,0,2.1684e-19,0,9,4,3,7,2,128,255,-128.732,64,Big,1,2962,1.80144e+16,13.147,4.17632e-09
